car_name,model,year,color,engine_type,transmission,fuel_type,price,mileage,product_name
Chevrolet,Corvette,1976,red,electric,automatic,hybrid,67332.67,277318,Tomato Sauce
Subaru,Outback,1969,green,gasoline,automatic,diesel,88685.39,276955,Rechargeable Battery Organizer
Mercedes-Benz,E-Class,1982,black,diesel,manual,diesel,91872.02,195452,Flavored Rice Cakes
Honda,CR-V,1918,black,diesel,manual,petrol,14176.49,135930,Kids' Art Supplies Kit
Mercedes-Benz,600SEL,1960,black,gasoline,automatic,diesel,96401.29,17011,Wall-Mounted Bookshelf
Chevrolet,Aveo,1923,red,diesel,automatic,hybrid,21022.95,134583,Air Fryer
Ford,Festiva,1959,white,gasoline,manual,petrol,38881.05,109756,Roasted Red Pepper Sauce
Buick,Electra,2020,blue,electric,manual,hybrid,97474.42,276626,Set of Silicone Cooking Utensils
Volkswagen,Jetta,2003,red,gasoline,automatic,petrol,97982.0,85267,Fleece Lined Leggings
Plymouth,Prowler,1929,green,electric,manual,hybrid,58636.25,49451,Organic Chia Seeds
Honda,del Sol,1977,white,gasoline,manual,hybrid,95704.57,231883,Coconut Curry Chicken
Cadillac,CTS,1916,green,electric,manual,hybrid,31224.66,148360,Black Olives
Ford,Taurus X,1920,red,gasoline,automatic,petrol,90277.03,199268,Trackpad for Laptop
Nissan,Sentra,1950,red,electric,automatic,petrol,37378.98,55523,Weighted Blanket for Adults
Lamborghini,Countach,2001,black,diesel,manual,hybrid,99185.29,294795,Fruit and Nut Energy Bites
Chevrolet,Monte Carlo,1983,black,electric,automatic,hybrid,23002.26,217545,Weighted Jump Rope with Counter
Ford,Contour,1937,red,gasoline,automatic,petrol,58759.42,196131,Grilled Veggie Burgers
Mercury,Mariner,1969,blue,diesel,automatic,hybrid,25525.35,195400,Sriracha Hot Chili Sauce
Lincoln,Continental,1905,white,gasoline,automatic,diesel,81880.19,256162,Fruit and Nut Energy Bites
Kia,Sorento,1998,red,gasoline,manual,hybrid,67681.61,124124,Kettle BBQ Grill
GMC,Sierra 3500,2016,green,gasoline,automatic,petrol,15882.71,213550,Portable Charcoal Grill
GMC,Envoy,1944,green,diesel,manual,petrol,43754.67,151985,Reusable Snack Bags
Infiniti,M,1950,blue,electric,automatic,petrol,83749.3,193328,Dog Training Whistle
Honda,Accord,2003,black,electric,manual,diesel,18910.24,286045,Artisan Flatbreads
Suzuki,Reno,1914,black,diesel,automatic,diesel,69609.92,236977,French Onion Dip
Hummer,H1,1993,green,electric,automatic,petrol,60390.52,23700,Pistachios
BMW,7 Series,2018,green,diesel,automatic,hybrid,33997.77,212196,Teriyaki Tofu Stir-Fry
Acura,Integra,1908,blue,electric,manual,hybrid,12370.73,70571,Roasted Red Pepper Hummus
Cadillac,CTS,1904,black,electric,automatic,diesel,16849.53,45737,Wireless Printer
Chevrolet,Caprice Classic,2004,green,diesel,automatic,petrol,19304.56,280650,Frozen Berry Blend
Nissan,Altima,1985,black,gasoline,manual,hybrid,61989.8,227542,Kale & Quinoa Salad Mix
Volvo,S90,1979,green,electric,manual,petrol,75084.88,209529,Travel Hair Straightener
Honda,Pilot,1974,green,diesel,automatic,petrol,95173.45,141819,Baked Falafel
Dodge,D250,1907,green,gasoline,manual,petrol,17962.33,82195,Sporty Cap
Toyota,Prius,1995,green,diesel,automatic,hybrid,80948.04,274193,Under Desk Footrest
Mitsubishi,GTO,1958,white,diesel,manual,diesel,33338.67,167260,Pet Water Fountain with Filtration
Chrysler,Town & Country,2006,green,diesel,automatic,hybrid,66963.1,249501,Vegan Taco Seasoning
BMW,X6 M,1937,red,diesel,manual,petrol,41954.9,99230,Classic Slim Fit Shirt
Lincoln,Aviator,1979,black,gasoline,manual,hybrid,61941.96,232463,Avocados
Kia,Optima,1995,white,electric,manual,diesel,21222.86,92122,Self-Cleaning Water Bottle
Honda,Odyssey,1962,blue,gasoline,automatic,hybrid,94562.55,265620,Apple Cinnamon Breakfast Muffins
Dodge,Caravan,1926,white,electric,automatic,hybrid,96135.56,245446,Bamboo Utensil Set
Mercury,Tracer,1910,blue,electric,manual,diesel,65176.71,156824,Personalized Pet ID Tags
Mitsubishi,Truck,1915,red,gasoline,automatic,petrol,58342.74,116910,Peanut Butter Banana Smoothie
Isuzu,Rodeo,1997,blue,gasoline,automatic,diesel,89886.26,122836,Herb Garlic Butter
Infiniti,G,1958,white,gasoline,automatic,diesel,60584.66,294108,Tortilla Chips
BMW,6 Series,2006,white,gasoline,automatic,hybrid,80221.73,275938,Creative Puzzle Game
Oldsmobile,Bravada,2020,green,electric,automatic,diesel,23391.45,86454,Spicy Vegetable Sushi Rolls
BMW,6 Series,1940,blue,gasoline,manual,petrol,27497.67,267069,Adjustable Dog Harness
Toyota,Solara,1985,red,electric,manual,diesel,56973.03,22436,Sports Water Bottle with Infuser
